0.0002	0.0000	0.0007
0.0003	0.0000	0.0012
0.0005	0.0001	0.0022
0.0008	0.0001	0.0037
0.0014	0.0002	0.0062
0.0024	0.0003	0.0105
0.0037	0.0004	0.0165
0.0058	0.0006	0.0260
0.0089	0.0009	0.0397
0.0132	0.0014	0.0591
0.0191	0.0020	0.0860
0.0271	0.0028	0.1222
0.0373	0.0039	0.1692
0.0504	0.0052	0.2293
0.0663	0.0069	0.3031
0.0847	0.0088	0.3894
0.1057	0.0109	0.4888
0.1286	0.0132	0.5986
0.1531	0.0157	0.7178
0.1787	0.0185	0.8439
0.2045	0.0214	0.9725
0.2294	0.0245	1.0991
0.2533	0.0278	1.2226
0.2754	0.0312	1.3394
0.2957	0.0348	1.4489
0.3147	0.0387	1.5535
0.3333	0.0428	1.6574
0.3501	0.0473	1.7540
0.3645	0.0520	1.8394
0.3758	0.0570	1.9110
0.3837	0.0621	1.9673
0.3875	0.0670	2.0034
0.3878	0.0721	2.0232
0.3848	0.0775	2.0272
0.3789	0.0833	2.0169
0.3707	0.0895	1.9948
0.3611	0.0958	1.9645
0.3495	0.1026	1.9244
0.3357	0.1103	1.8737
0.3198	0.1190	1.8132
0.3023	0.1282	1.7454
0.2841	0.1374	1.6741
0.2645	0.1474	1.5964
0.2430	0.1588	1.5113
0.2199	0.1716	1.4183
0.1956	0.1852	1.3176
0.1700	0.1990	1.2042
0.1446	0.2130	1.0879
0.1210	0.2264	0.9754
0.0998	0.2395	0.8701
0.0805	0.2536	0.7721
0.0631	0.2707	0.6851
0.0479	0.2886	0.6064
0.0350	0.3056	0.5355
0.0244	0.3217	0.4718
0.0162	0.3391	0.4153
0.0103	0.3602	0.3658
0.0064	0.3832	0.3222
0.0040	0.4079	0.2834
0.0030	0.4338	0.2488
0.0038	0.4608	0.2185
0.0071	0.4884	0.1926
0.0122	0.5168	0.1697
0.0190	0.5461	0.1487
0.0273	0.5761	0.1291
0.0375	0.6067	0.1120
0.0496	0.6382	0.0985
0.0636	0.6699	0.0873
0.0798	0.7015	0.0774
0.0979	0.7324	0.0686
0.1177	0.7618	0.0607
0.1388	0.7879	0.0531
0.1612	0.8119	0.0462
0.1851	0.8343	0.0402
0.2103	0.8552	0.0350
0.2365	0.8752	0.0305
0.2630	0.8954	0.0262
0.2903	0.9147	0.0223
0.3184	0.9325	0.0190
0.3473	0.9485	0.0162
0.3768	0.9620	0.0137
0.4064	0.9718	0.0112
0.4364	0.9792	0.0089
0.4668	0.9847	0.0070
0.4978	0.9887	0.0054
0.5298	0.9918	0.0040
0.5636	0.9954	0.0027
0.5984	0.9981	0.0016
0.6338	0.9996	0.0008
0.6694	0.9994	0.0003
0.7052	0.9973	0.0000
0.7409	0.9929	-0.0001
0.7763	0.9864	0.0000
0.8114	0.9780	0.0000
0.8457	0.9678	0.0000
0.8787	0.9556	0.0000
0.9090	0.9406	0.0000
0.9375	0.9240	0.0000
0.9643	0.9061	0.0000
0.9897	0.8876	0.0000
1.0142	0.8689	0.0000
1.0393	0.8517	0.0000
1.0631	0.8344	0.0000
1.0848	0.8165	0.0000
1.1035	0.7975	0.0000
1.1185	0.7774	0.0000
1.1281	0.7554	0.0000
1.1333	0.7323	0.0000
1.1343	0.7083	0.0000
1.1311	0.6836	0.0000
1.1240	0.6583	0.0000
1.1129	0.6328	0.0000
1.0980	0.6069	0.0000
1.0792	0.5808	0.0000
1.0566	0.5544	0.0000
1.0305	0.5280	0.0000
1.0008	0.5014	0.0000
0.9681	0.4750	0.0000
0.9328	0.4488	0.0000
0.8953	0.4231	0.0000
0.8563	0.3981	0.0000
0.8165	0.3742	0.0000
0.7757	0.3510	0.0000
0.7339	0.3282	0.0000
0.6911	0.3057	0.0000
0.6475	0.2835	0.0000
0.6023	0.2610	0.0000
0.5573	0.2389	0.0000
0.5135	0.2180	0.0000
0.4715	0.1983	0.0000
0.4316	0.1798	0.0000
0.3947	0.1630	0.0000
0.3602	0.1475	0.0000
0.3277	0.1332	0.0000
0.2970	0.1199	0.0000
0.2683	0.1076	0.0000
0.2413	0.0964	0.0000
0.2162	0.0860	0.0000
0.1930	0.0766	0.0000
0.1718	0.0680	0.0000
0.1526	0.0603	0.0000
0.1352	0.0533	0.0000
0.1195	0.0470	0.0000
0.1053	0.0414	0.0000
0.0926	0.0363	0.0000
0.0813	0.0318	0.0000
0.0711	0.0278	0.0000
0.0621	0.0242	0.0000
0.0541	0.0211	0.0000
0.0470	0.0183	0.0000
0.0409	0.0159	0.0000
0.0355	0.0138	0.0000
0.0307	0.0120	0.0000
0.0266	0.0104	0.0000
0.0231	0.0090	0.0000
0.0199	0.0077	0.0000
0.0172	0.0067	0.0000
0.0149	0.0058	0.0000
0.0129	0.0050	0.0000
0.0111	0.0043	0.0000
0.0096	0.0037	0.0000
0.0083	0.0032	0.0000
0.0071	0.0028	0.0000
0.0061	0.0024	0.0000
0.0053	0.0021	0.0000
0.0046	0.0018	0.0000
0.0039	0.0015	0.0000
0.0034	0.0013	0.0000
0.0029	0.0011	0.0000
0.0025	0.0010	0.0000
0.0022	0.0008	0.0000
0.0019	0.0007	0.0000
0.0016	0.0006	0.0000
0.0014	0.0005	0.0000
0.0012	0.0005	0.0000
0.0010	0.0004	0.0000
0.0009	0.0004	0.0000
0.0008	0.0003	0.0000
0.0007	0.0003	0.0000
0.0006	0.0002	0.0000
0.0005	0.0002	0.0000
0.0004	0.0002	0.0000
0.0004	0.0001	0.0000
0.0003	0.0001	0.0000
0.0003	0.0001	0.0000
0.0003	0.0001	0.0000
