spectral sensitivity functions for humans derived from photopigment spectral sensitivity adjusted for pre-receptoral filtering in a standard observer,,,,,,,,
"as defined by Lucas et al., ""Measuring and using light in the melanopsin age."" Trends in Neuroscience, Jan 2014",,,,,,,,
http://lucasgroup.lab.manchester.ac.uk/research/measuringmelanopicilluminance/,,,,,,,,
Referenced by Well Building Standard v1 2016 which uses it to calculate equilivant melanopic lux (EML),,,,,,,,
"as defined by that standard, Appendix C Table L1 & L2",,,,,,,,
measurements should be taken as lux on the cornea,,,,,,,,
nm,erythropic - L cone,chloropic - M cone,cyanopic - S cone,rhodopic - rods,melanopic - ipRGCs,photopic - all cones and rods,circadian - photopic and melanopic,standard observer pre-receptoral transmittance age 32 pupil undilated
715,0.000017,0.000001,0.000000,0.000000,0.000000,0.001484,0.001484,0.780189
720,0.000012,0.000001,0.000000,0.000000,0.000000,0.001047,0.001047,0.781268
725,0.000008,0.000001,0.000000,0.000000,0.000000,0.000740,0.000740,0.782168
730,0.000006,0.000001,0.000000,0.000000,0.000000,0.000520,0.000520,0.783069
735,0.000004,0.000000,0.000000,0.000000,0.000000,0.000361,0.000361,0.783881
740,0.000003,0.000000,0.000000,0.000000,0.000000,0.000249,0.000249,0.784693
745,0.000002,0.000000,0.000000,0.000000,0.000000,0.000172,0.000172,0.785416
750,0.000001,0.000000,0.000000,0.000000,0.000000,0.000120,0.000120,0.786140
755,0.000001,0.000000,0.000000,0.000000,0.000000,0.000085,0.000085,0.786593
760,0.000001,0.000000,0.000000,0.000000,0.000000,0.000060,0.000060,0.787046
765,0.000001,0.000000,0.000000,0.000000,0.000000,0.000042,0.000042,0.787590
770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000030,0.788134
775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000021,0.000021,0.788588
780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,0.000015,0.789042
